0ef2dc9b3777407db3d211d3d43b7e2a, , ,0,[270 732], , , , , , , ,
0ef2dc9b3777407db3d211d3d43b7e2a, , , , ,54,[371.46729979 633.54596888], , , , , ,
0ef2dc9b3777407db3d211d3d43b7e2a, , , , , , ,69,[445.23800699 590.65435883], , , ,
0ef2dc9b3777407db3d211d3d43b7e2a, , , , , , , , ,89,[420.82097538 618.00596749], ,
0ef2dc9b3777407db3d211d3d43b7e2a, , , , , , , , , , ,104,[352.41736986 581.74711151]
7b96953dc05e4a53892d15eb7af480e3, , ,37,[235.77241491 541.03799822], , , , , , , ,
7b96953dc05e4a53892d15eb7af480e3, , , , ,47,[266.31534726 515.5176135 ], , , , , ,
7b96953dc05e4a53892d15eb7af480e3, , , , , , , , , , ,48,[272.87196934 509.63170655]
e2fd38c1b4334abf8e02d3fafde92fbd, , ,0,[615 511], , , , , , , ,
e2fd38c1b4334abf8e02d3fafde92fbd, , , , ,58,[785.96866179 513.03756242], , , , , ,
e2fd38c1b4334abf8e02d3fafde92fbd, , , , , , ,73,[826.52954676 451.07322146], , , ,
e2fd38c1b4334abf8e02d3fafde92fbd, , , , , , , , , , ,73,[826.52954676 451.07322146]
f0fa4b38d91a4266b5540143577144f4, , ,0,[615 511], , , , , , , ,
f0fa4b38d91a4266b5540143577144f4, , , , ,47,[660.05463443 478.2924549 ], , , , , ,
f0fa4b38d91a4266b5540143577144f4, , , , , , , , , , ,50,[658.56137999 477.58564978]
8639160f172049f2963758281f2b394b, , ,0,[616 513], , , , , , , ,
8639160f172049f2963758281f2b394b, , , , ,59,[661.82970107 457.08040053], , , , , ,
8639160f172049f2963758281f2b394b, , , , , , ,77,[655.60264946 436.92374219], , , ,
8639160f172049f2963758281f2b394b, , , , , , , , ,100,[653.35281752 417.54804367], ,
8639160f172049f2963758281f2b394b, , , , , , , , , , ,134,[646.36732733 437.34036036]
2d11fa1d18404040a26ecd388b47bdfd, , ,0,[183 646], , , , , , , ,
2d11fa1d18404040a26ecd388b47bdfd, , , , ,56,[303.49208054 441.64986577], , , , , ,
2d11fa1d18404040a26ecd388b47bdfd, , , , , , ,70,[349.66701943 413.58144985], , , ,
2d11fa1d18404040a26ecd388b47bdfd, , , , , , , , ,85,[324.63841602 438.48213633], ,
2d11fa1d18404040a26ecd388b47bdfd, , , , , , , , , , ,90,[272.83490308 456.72877423]
d7c23551150f4f0e846219b7e74a2985, , ,0,[859 486], , , , , , , ,
d7c23551150f4f0e846219b7e74a2985, , , , ,70,[812.82547207 504.52603303], , , , , ,
d7c23551150f4f0e846219b7e74a2985, , , , , , ,106,[777.65875571 480.98712286], , , ,
d7c23551150f4f0e846219b7e74a2985, , , , , , , , ,121,[725.60254035 502.80762106], ,
d7c23551150f4f0e846219b7e74a2985, , , , , , , , , , ,134,[784.54570456 514.16121006]
7f7a122e656c4591a66de0b264884f89, , ,0,[863 486], , , , , , , ,
7f7a122e656c4591a66de0b264884f89, , , , ,39,[837.4601227  461.99571393], , , , , ,
7f7a122e656c4591a66de0b264884f89, , , , , , ,109,[785.42021391 463.81939559], , , ,
7f7a122e656c4591a66de0b264884f89, , , , , , , , ,119,[733.68653807 496.67444049], ,
7f7a122e656c4591a66de0b264884f89, , , , , , , , , , ,119,[733.68653807 496.67444049]
cb593bb6dce14d7b8f77841f3389d150, , , , ,1,[849  99], , , , , ,
cb593bb6dce14d7b8f77841f3389d150, , , , , , ,6,[882.90305352  67.45245559], , , ,
cb593bb6dce14d7b8f77841f3389d150, , , , , , , , ,66,[899.9964462   65.31530109], ,
cb593bb6dce14d7b8f77841f3389d150, , , , , , , , , , ,66,[899.9964462   65.31530109]
f532ab87ac844121ae40face4ef593ea,0,[1342  160], , , , , , , , , ,
f532ab87ac844121ae40face4ef593ea, , ,43,[1328.04071879  154.72701204], , , , , , , ,
f532ab87ac844121ae40face4ef593ea, , , , ,92,[1353.39338235  113.98239164], , , , , ,
f532ab87ac844121ae40face4ef593ea, , , , , , ,106,[1335.93437289  104.05334889], , , ,
f532ab87ac844121ae40face4ef593ea, , , , , , , , ,134,[1345.88352368  182.47391972], ,
f532ab87ac844121ae40face4ef593ea, , , , , , , , , , ,134,[1345.88352368  182.47391972]
86cca4e53c74441e879825e621699508, , ,0,[110 454], , , , , , , ,
86cca4e53c74441e879825e621699508, , , , ,39,[177.99647677 281.54759346], , , , , ,
86cca4e53c74441e879825e621699508, , , , , , ,48,[199.47266508 254.95414227], , , ,
86cca4e53c74441e879825e621699508, , , , , , , , ,74,[314.02722342 222.36369859], ,
86cca4e53c74441e879825e621699508, , , , , , , , , , ,74,[314.02722342 222.36369859]
